City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,romitan,39.9343,64.3814,71.55,40,0,9.22,UZ,1662758091
84,kapaa,22.0752,-159.319,84.18,77,75,11.5,US,1662758091
85,charters towers,-20.1,146.2667,64.67,35,0,5.06,AU,1662758092
86,mehamn,71.0357,27.8492,48.15,93,75,10.36,NO,1662758092
87,lasa,46.6166,10.7002,58.08,90,97,4.27,IT,1662758093
88,tiksi,71.6872,128.8694,39.81,88,100,14.45,RU,1662758093
89,kaitangata,-46.2817,169.8464,42.55,86,19,1.72,NZ,1662758094
90,nantucket,41.2835,-70.0995,77.14,52,0,6.91,US,1662757840
91,coihaique,-45.5752,-72.0662,49.95,62,75,6.91,CL,1662758094
92,port lincoln,-34.7333,135.8667,53.47,78,100,9.19,AU,1662758095
93,omsukchan,62.5333,155.8,41.72,95,100,3.53,RU,1662758095
94,antigonish,45.6169,-61.9986,70.14,63,10,8.3,CA,1662757963
95,talnakh,69.4865,88.3972,36.21,99,100,4.05,RU,1662758096
96,cherskiy,68.75,161.3,50.83,75,100,10.42,RU,1662758096
97,gasa,31.5,34.4667,80.38,60,0,9.48,PS,1662758097
98,luanda,-8.8368,13.2343,71.6,88,75,3.44,AO,1662758097
99,sitka,57.0531,-135.33,60.69,72,100,12.66,US,1662757849
100,vaini,-21.2,-175.2,77.16,78,75,8.05,TO,1662758098
101,lompoc,34.6391,-120.4579,99.7,57,0,9.22,US,1662758098
102,opuwo,-18.0607,13.84,76.41,18,0,5.64,NA,1662758099
103,timmins,48.4669,-81.3331,80.42,54,40,12.66,CA,1662757993
104,butaritari,3.0707,172.7902,81.9,72,99,20.18,KI,1662758099
105,mayachnyy,52.6839,55.685,41.41,89,46,5.88,RU,1662758100
106,cape town,-33.9258,18.4232,59.92,77,0,12.66,ZA,1662757866
107,zemio,5.0314,25.1361,68.86,99,100,4.23,CF,1662757882
108,mar del plata,-38.0023,-57.5575,47.08,73,40,15.01,AR,1662758100
109,san ignacio,17.1561,-89.0714,80.26,82,100,0.63,BZ,1662758101
110,cabo san lucas,22.8909,-109.9124,89.62,78,20,6.91,MX,1662757990
111,port elizabeth,-33.918,25.5701,63.32,97,75,2.3,ZA,1662758102
112,larkollen,59.3339,10.6656,57.69,76,100,11.5,NO,1662758102
113,sao joao da barra,-21.6403,-41.0511,75.29,75,6,22.24,BR,1662758103
114,mundo nuevo,18.7,-95.5,81.16,79,99,4.97,MX,1662758103
115,quelimane,-17.8786,36.8883,69.67,81,0,4.07,MZ,1662758104
116,likasi,-10.9814,26.7333,66.36,34,100,2.3,CD,1662758104
117,yarmouth,41.7057,-70.2286,76.14,67,0,6.91,US,1662758105
118,puerto ayora,-0.7393,-90.3518,75.16,90,76,7.0,EC,1662758105
119,bredasdorp,-34.5322,20.0403,49.33,84,31,3.04,ZA,1662758106
120,inhambane,-23.865,35.3833,66.76,81,0,9.93,MZ,1662758106
121,pacific grove,36.6177,-121.9166,89.38,78,0,10.36,US,1662758107
122,terney,45.0503,136.6092,53.4,70,6,6.82,RU,1662758107
123,yeppoon,-23.1333,150.7333,64.18,79,8,5.59,AU,1662758098
124,geraldton,-28.7667,114.6,45.01,93,0,6.91,AU,1662757826
125,broken hill,-31.95,141.4333,46.02,92,13,12.68,AU,1662758108
126,sinnamary,5.3833,-52.95,81.45,76,88,12.24,GF,1662758108
127,kavaratti,10.5669,72.642,80.08,84,100,20.0,IN,1662758109
128,paamiut,61.994,-49.6678,43.79,78,100,3.6,GL,1662758109
